Tool Name,Category,Usage Count,Month,Region,Industry,User Type
DALL-E,Generative AI,7177,04,Africa,Education,Enterprise
BERT,Text-to-Image,18848,04,South America,Entertainment,Individual
BERT,Generative AI,13036,09,Africa,Technology,SMB
DALL-E,Generative AI,23965,11,Africa,Finance,Individual
Stable Diffusion,Text-to-Image,18056,10,North America,Healthcare,SMB
Stable Diffusion,Text-to-Image,12473,07,Asia,Entertainment,Enterprise
Stable Diffusion,Generative AI,21573,06,Asia,Education,SMB
BERT,Generative AI,32715,08,Asia,Finance,Individual
ChatGPT,Text-to-Image,23832,04,Asia,Finance,Individual
ChatGPT,NLP,31307,01,South America,Finance,Individual
Stable Diffusion,Generative AI,19189,03,South America,Technology,Individual
Stable Diffusion,NLP,18646,07,Asia,Finance,SMB
ChatGPT,Text-to-Image,33252,07,Africa,Finance,SMB
DALL-E,NLP,14863,04,Asia,Finance,Enterprise
BERT,Generative AI,9411,07,South America,Finance,Enterprise
BERT,Text-to-Image,7316,05,Africa,Finance,SMB
DALL-E,Text-to-Image,17933,05,Africa,Healthcare,Enterprise
ChatGPT,Generative AI,29813,09,Europe,Finance,SMB
DALL-E,NLP,34247,05,Asia,Education,Enterprise
DALL-E,Text-to-Image,11007,07,Africa,Education,Enterprise
DALL-E,Text-to-Image,22828,06,South America,Healthcare,Individual
ChatGPT,Generative AI,15232,04,North America,Technology,SMB
DALL-E,Generative AI,23537,10,Europe,Technology,Individual
DALL-E,NLP,30004,09,North America,Healthcare,Enterprise
BERT,Generative AI,22452,10,Asia,Entertainment,SMB
BERT,NLP,27600,10,Europe,Education,SMB
Stable Diffusion,Text-to-Image,19478,10,South America,Technology,Enterprise
DALL-E,NLP,21018,03,Europe,Finance,Enterprise
BERT,Text-to-Image,27509,07,North America,Healthcare,SMB
BERT,Generative AI,25499,08,North America,Healthcare,Enterprise
DALL-E,Generative AI,11999,02,Asia,Education,Individual
ChatGPT,Text-to-Image,26096,07,Africa,Technology,SMB
Stable Diffusion,Generative AI,34468,02,Asia,Education,SMB
ChatGPT,Generative AI,15414,02,Asia,Finance,Individual
ChatGPT,Generative AI,19700,06,Asia,Finance,Enterprise
DALL-E,Generative AI,18655,02,Europe,Entertainment,Enterprise
Stable Diffusion,NLP,8424,02,Europe,Education,SMB
ChatGPT,NLP,17106,12,North America,Healthcare,SMB
ChatGPT,NLP,26604,05,Africa,Technology,Individual
DALL-E,Generative AI,25577,05,Asia,Education,Individual
Stable Diffusion,NLP,18424,05,South America,Education,Individual
ChatGPT,Text-to-Image,8552,07,Asia,Education,Individual
Stable Diffusion,NLP,6251,11,North America,Technology,Individual
DALL-E,NLP,29516,03,North America,Healthcare,Enterprise
Stable Diffusion,Text-to-Image,31595,10,North America,Finance,SMB
BERT,NLP,16075,06,North America,Finance,SMB
ChatGPT,Text-to-Image,24010,03,North America,Entertainment,SMB
BERT,Generative AI,34304,09,Asia,Healthcare,Enterprise
Stable Diffusion,Generative AI,34696,09,Asia,Entertainment,Individual
Stable Diffusion,NLP,16223,01,North America,Education,SMB
Stable Diffusion,Generative AI,13764,02,South America,Education,SMB
ChatGPT,Text-to-Image,21506,01,South America,Healthcare,Individual
BERT,NLP,15362,04,Asia,Finance,Enterprise
ChatGPT,NLP,11176,08,North America,Technology,Individual
DALL-E,Generative AI,15709,02,Europe,Education,SMB
BERT,NLP,9374,04,Europe,Finance,Enterprise
BERT,Generative AI,27919,07,Africa,Finance,Individual
ChatGPT,Generative AI,9507,12,Africa,Entertainment,Enterprise
BERT,Text-to-Image,26736,04,South America,Technology,Enterprise
ChatGPT,Text-to-Image,22239,11,South America,Healthcare,Enterprise
Stable Diffusion,NLP,6226,08,North America,Technology,Enterprise
Stable Diffusion,Generative AI,26999,07,Europe,Healthcare,SMB
Stable Diffusion,NLP,33326,12,North America,Healthcare,Individual
