Tool Name,Category,Usage Count,Month,Region,Industry,User Type
DALL-E,Generative AI,7177,2023-04-01,Africa,Education,Enterprise
BERT,Text-to-Image,18848,2023-04-01,South America,Entertainment,Individual
BERT,Generative AI,13036,2023-09-01,Africa,Technology,SMB
DALL-E,Generative AI,23965,2023-11-01,Africa,Finance,Individual
Stable Diffusion,Text-to-Image,18056,2023-10-01,North America,Healthcare,SMB
Stable Diffusion,Text-to-Image,12473,2023-07-01,Asia,Entertainment,Enterprise
Stable Diffusion,Generative AI,21573,2023-06-01,Asia,Education,SMB
BERT,Generative AI,32715,2023-08-01,Asia,Finance,Individual
ChatGPT,Text-to-Image,23832,2023-04-01,Asia,Finance,Individual
ChatGPT,NLP,31307,2023-01-01,South America,Finance,Individual
Stable Diffusion,Generative AI,19189,2023-03-01,South America,Technology,Individual
Stable Diffusion,NLP,18646,2023-07-01,Asia,Finance,SMB
ChatGPT,Text-to-Image,33252,2023-07-01,Africa,Finance,SMB
DALL-E,NLP,14863,2023-04-01,Asia,Finance,Enterprise
BERT,Generative AI,9411,2023-07-01,South America,Finance,Enterprise
BERT,Text-to-Image,7316,2023-05-01,Africa,Finance,SMB
DALL-E,Text-to-Image,17933,2023-05-01,Africa,Healthcare,Enterprise
ChatGPT,Generative AI,29813,2023-09-01,Europe,Finance,SMB
DALL-E,NLP,34247,2023-05-01,Asia,Education,Enterprise
DALL-E,Text-to-Image,11007,2023-07-01,Africa,Education,Enterprise
DALL-E,Text-to-Image,22828,2023-06-01,South America,Healthcare,Individual
ChatGPT,Generative AI,15232,2023-04-01,North America,Technology,SMB
DALL-E,Generative AI,23537,2023-10-01,Europe,Technology,Individual
DALL-E,NLP,30004,2023-09-01,North America,Healthcare,Enterprise
BERT,Generative AI,22452,2023-10-01,Asia,Entertainment,SMB
BERT,NLP,27600,2023-10-01,Europe,Education,SMB
Stable Diffusion,Text-to-Image,19478,2023-10-01,South America,Technology,Enterprise
DALL-E,NLP,21018,2023-03-01,Europe,Finance,Enterprise
BERT,Text-to-Image,27509,2023-07-01,North America,Healthcare,SMB
BERT,Generative AI,25499,2023-08-01,North America,Healthcare,Enterprise
DALL-E,Generative AI,11999,2023-02-01,Asia,Education,Individual
ChatGPT,Text-to-Image,26096,2023-07-01,Africa,Technology,SMB
Stable Diffusion,Generative AI,34468,2023-02-01,Asia,Education,SMB
ChatGPT,Generative AI,15414,2023-02-01,Asia,Finance,Individual
ChatGPT,Generative AI,19700,2023-06-01,Asia,Finance,Enterprise
DALL-E,Generative AI,18655,2023-02-01,Europe,Entertainment,Enterprise
Stable Diffusion,NLP,8424,2023-02-01,Europe,Education,SMB
ChatGPT,NLP,17106,2023-12-01,North America,Healthcare,SMB
ChatGPT,NLP,26604,2023-05-01,Africa,Technology,Individual
DALL-E,Generative AI,25577,2023-05-01,Asia,Education,Individual
Stable Diffusion,NLP,18424,2023-05-01,South America,Education,Individual
ChatGPT,Text-to-Image,8552,2023-07-01,Asia,Education,Individual
Stable Diffusion,NLP,6251,2023-11-01,North America,Technology,Individual
DALL-E,NLP,29516,2023-03-01,North America,Healthcare,Enterprise
Stable Diffusion,Text-to-Image,31595,2023-10-01,North America,Finance,SMB
BERT,NLP,16075,2023-06-01,North America,Finance,SMB
ChatGPT,Text-to-Image,24010,2023-03-01,North America,Entertainment,SMB
BERT,Generative AI,34304,2023-09-01,Asia,Healthcare,Enterprise
Stable Diffusion,Generative AI,34696,2023-09-01,Asia,Entertainment,Individual
Stable Diffusion,NLP,16223,2023-01-01,North America,Education,SMB
Stable Diffusion,Generative AI,13764,2023-02-01,South America,Education,SMB
ChatGPT,Text-to-Image,21506,2023-01-01,South America,Healthcare,Individual
BERT,NLP,15362,2023-04-01,Asia,Finance,Enterprise
ChatGPT,NLP,11176,2023-08-01,North America,Technology,Individual
DALL-E,Generative AI,15709,2023-02-01,Europe,Education,SMB
BERT,NLP,9374,2023-04-01,Europe,Finance,Enterprise
BERT,Generative AI,27919,2023-07-01,Africa,Finance,Individual
ChatGPT,Generative AI,9507,2023-12-01,Africa,Entertainment,Enterprise
BERT,Text-to-Image,26736,2023-04-01,South America,Technology,Enterprise
ChatGPT,Text-to-Image,22239,2023-11-01,South America,Healthcare,Enterprise
Stable Diffusion,NLP,6226,2023-08-01,North America,Technology,Enterprise
Stable Diffusion,Generative AI,26999,2023-07-01,Europe,Healthcare,SMB
Stable Diffusion,NLP,33326,2023-12-01,North America,Healthcare,Individual
ChatGPT,NLP,17777,2023-03-01,Asia,Entertainment,Enterprise
ChatGPT,Generative AI,7382,2023-12-01,Asia,Healthcare,Individual
Stable Diffusion,Generative AI,24548,2023-12-01,Asia,Education,SMB
BERT,Generative AI,23857,2023-08-01,South America,Finance,SMB
Stable Diffusion,Generative AI,14796,2023-12-01,Africa,Healthcare,Individual
Stable Diffusion,Generative AI,23003,2023-01-01,Asia,Entertainment,Enterprise
BERT,NLP,7143,2023-12-01,Asia,Education,SMB
ChatGPT,Text-to-Image,24216,2023-05-01,Africa,Finance,SMB
Stable Diffusion,NLP,29717,2023-03-01,Asia,Education,Enterprise
Stable Diffusion,Generative AI,6985,2023-09-01,Africa,Technology,Enterprise
ChatGPT,NLP,13664,2023-01-01,North America,Entertainment,SMB
BERT,Text-to-Image,8329,2023-12-01,Europe,Entertainment,Individual
ChatGPT,Text-to-Image,19926,2023-10-01,North America,Healthcare,Enterprise
DALL-E,Generative AI,27295,2023-08-01,South America,Finance,Enterprise
DALL-E,Text-to-Image,24495,2023-09-01,South America,Entertainment,Enterprise
BERT,NLP,11284,2023-11-01,Africa,Finance,SMB
BERT,Generative AI,9807,2023-09-01,Asia,Finance,SMB
Stable Diffusion,Generative AI,30017,2023-02-01,South America,Healthcare,Enterprise
ChatGPT,Generative AI,30042,2023-02-01,Asia,Technology,Enterprise
BERT,NLP,12220,2023-06-01,South America,Healthcare,SMB
DALL-E,Generative AI,16202,2023-11-01,South America,Entertainment,Individual
ChatGPT,Generative AI,30402,2023-06-01,Asia,Education,Enterprise
BERT,Generative AI,6668,2023-08-01,Europe,Entertainment,Enterprise
ChatGPT,Text-to-Image,11512,2023-01-01,North America,Finance,Enterprise
ChatGPT,Text-to-Image,6995,2023-10-01,North America,Technology,SMB
ChatGPT,Text-to-Image,29382,2023-04-01,South America,Healthcare,Individual
ChatGPT,Generative AI,24531,2023-06-01,Africa,Technology,Enterprise
